user_id,username,display_name,bio,created_date,is_banned,has_verified_badge,badges_count,friends_count,followers_count,following_count,groups_count,groups,avatar_url,last_online,premium_status,account_age_days,url
169690284,dugis757,dugis757,,2016-10-09T16:23:14.857Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,2913.438132634767,https://www.roblox.com/users/169690284/profile
4051752461,libi_a08,libi_a08,,2022-11-12T20:38:15.677Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,688.2610433427797,https://www.roblox.com/users/4051752461/profile
1398056123,fodinho1029,fodinho1029,,2020-01-05T05:21:45.81Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,1730.897507420447,https://www.roblox.com/users/1398056123/profile
3200954855,ad0mb1,ad0mb1,,2022-01-03T15:47:40.763Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,1001.4628481124562,https://www.roblox.com/users/3200954855/profile
3610350705,rtezete,rtezete,,2022-06-10T05:59:47.677Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,843.8711062281303,https://www.roblox.com/users/3610350705/profile
2831385936,dlgjprh,dlgjprh,,2021-08-22T18:24:07.82Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,1135.3542130053374,https://www.roblox.com/users/2831385936/profile
1173613880,Immanolo30,Immanolo30,,2019-07-22T22:07:52.767Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,1897.1988376949369,https://www.roblox.com/users/1173613880/profile
2772372519,fefefekaka,fefefekaka,Hola soy millonario en tycoon se playa tengo un hotel si té quieres quedar,2021-08-01T04:07:51.803Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,1156.9488558252128,https://www.roblox.com/users/2772372519/profile
1449412600,AHMTEG255,AHMTEG255,,2020-02-08T15:56:59.113Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,1696.4564097176326,https://www.roblox.com/users/1449412600/profile
1346437580,aswetujh,aswetujh,,2019-12-05T07:45:49.95Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,1761.7975026820766,https://www.roblox.com/users/1346437580/profile
2335345892,Melisuno,Melisuno,,2021-01-30T17:24:57.073Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,1339.3953316296113,https://www.roblox.com/users/2335345892/profile
1579543771,ionicadrago,ionicadrago,,2020-04-19T20:29:56.1Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,1625.2668760445604,https://www.roblox.com/users/1579543771/profile
3884886957,oomkuy100,oomkuy100,,2022-09-11T16:03:58.403Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,750.4515796753626,https://www.roblox.com/users/3884886957/profile
1075201469,badqween82737,badqween82737,,2019-05-11T20:36:01.933Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,1969.2626628954515,https://www.roblox.com/users/1075201469/profile
281892871,AndersSvendsen,AndersSvendsen,,2017-04-08T16:38:33.123Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,2732.427575303098,https://www.roblox.com/users/281892871/profile
646458724,Genisus_Valtryek,Genisus_Valtryek,,2018-06-16T15:29:34.947Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,2298.475486712577,https://www.roblox.com/users/646458724/profile
1658461599,WanneBeInMyBed,WanneBeInMyBed,,2020-05-28T07:53:25.053Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,1586.7922629363172,https://www.roblox.com/users/1658461599/profile
2779028215,koiknwk01,koiknwk01,,2021-08-03T15:51:44.73Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,1154.460103541381,https://www.roblox.com/users/2779028215/profile
707181059,aid0777,aid0777,,2018-08-07T16:14:33.937Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,2246.4442668824063,https://www.roblox.com/users/707181059/profile
992732660,IZZY2744,IZZY2744,,2019-03-06T23:07:20.28Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,2035.1576170944975,https://www.roblox.com/users/992732660/profile
2433053428,sh7ug,sh7ug,,2021-03-13T13:13:14.053Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,1297.5701921001435,https://www.roblox.com/users/2433053428/profile
692508749,7psychiatrist89,7psychiatrist89,"What you see depends on what you're looking for. 
 - Unknown",2018-07-27T10:58:54.993Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,2257.6634871187916,https://www.roblox.com/users/692508749/profile
1847974593,UnblockMeUnblock,UnblockMeUnblock,,2020-08-26T19:50:21.007Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,1496.2944294964798,https://www.roblox.com/users/1847974593/profile
38894289,tarinity456,tarinity456,,2013-02-26T04:25:48.897Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,4234.936482934148,https://www.roblox.com/users/38894289/profile
19886072,sydney6630,sydney6630,,2011-09-07T00:36:52.577Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,4773.0954707391365,https://www.roblox.com/users/19886072/profile
612447787,MisterXavi,MisterXavi,,2018-05-21T07:48:32.807Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,2324.795707424341,https://www.roblox.com/users/612447787/profile
4000254346,Wedd1345,Wedd1345,,2022-10-25T04:28:15.29Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,706.9347976304122,https://www.roblox.com/users/4000254346/profile
326020756,woodley567,woodley567,,2017-06-21T21:02:27.58Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,2658.2443862338337,https://www.roblox.com/users/326020756/profile
4012266189,kiony92937,kiony92937,,2022-10-29T17:44:30.87Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,702.3818580677912,https://www.roblox.com/users/4012266189/profile
3966475749,yytvebbu,yytvebbu,,2022-10-12T10:43:18.157Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,719.6743626734532,https://www.roblox.com/users/3966475749/profile
3131993558,Ncjfnnfnngnfbufhu,Ncjfnnfnngnfbufhu,,2021-12-11T20:11:23.887Z,False,False,0,0,0,0,0,[],No avatar URL found,Never,False,1024.2798662003765,https://www.roblox.com/users/3131993558/profile
